Adobe After Effects 8.0 Keyframe Data

	Units Per Second	24
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	1209	235	
	1	1208.97	234.512	
	2	1208.9	234.063	
	3	1208.74	233.508	
	4	1208.55	232.957	
	5	1208.43	232.41	
	6	1208.2	231.762	
	7	1207.95	231.242	
	8	1207.73	230.566	
	9	1207.52	230.039	
	10	1207.34	229.48	
	11	1207.19	228.91	
	12	1206.98	228.418	
	13	1206.77	227.922	
	14	1206.73	227.598	
	15	1206.54	227.348	
	16	1206.5	227.102	
	17	1206.43	227.066	
	18	1206.43	227.051	
	19	1206.42	227.043	
	20	1206.41	227.047	
	21	1206.42	227.043	
	22	1206.47	227.051	
	23	1206.52	227.184	
	24	1206.62	227.18	
	25	1206.79	227.195	
	26	1206.85	227.207	
	27	1207.15	227.191	
	28	1207.41	227.23	
	29	1207.47	227.234	
	30	1207.68	227.227	
	31	1207.93	227.266	
	32	1208.2	227.277	
	33	1208.37	227.293	
	34	1208.53	227.359	
	35	1208.63	227.371	
	36	1208.72	227.418	
	37	1208.79	227.434	
	38	1208.86	227.469	
	39	1208.86	227.492	
	40	1208.85	227.543	
	41	1208.83	227.551	
	42	1208.82	227.57	
	43	1208.77	227.598	
	44	1208.67	227.609	
	45	1208.61	227.656	
	46	1208.45	227.672	
	47	1208.34	227.707	
	48	1208.22	227.676	
	49	1207.9	227.617	
	50	1207.8	227.602	
	51	1207.66	227.477	
	52	1207.54	227.391	
	53	1207.47	227.254	
	54	1207.34	226.93	
	55	1207.15	226.754	
	56	1207.05	226.469	
	57	1206.91	226.211	
	58	1206.8	225.777	
	59	1206.78	225.418	
	60	1206.71	225.105	
	61	1206.76	224.535	
	62	1206.77	224.121	
	63	1206.88	223.539	
	64	1207.07	223.105	
	65	1207.15	222.496	
	66	1207.38	221.891	
	67	1207.57	221.43	
	68	1207.73	220.82	
	69	1207.91	220.348	
	70	1208.3	219.742	
	71	1208.59	219.266	
	72	1208.78	218.656	
	73	1209.18	218.258	
	74	1209.49	217.641	
	75	1209.71	217.293	
	76	1210.09	216.73	
	77	1210.3	216.41	
	78	1210.54	216.176	
	79	1210.74	215.723	
	80	1211.09	215.551	
	81	1211.3	215.199	
	82	1211.47	214.641	
	83	1211.58	214.324	
	84	1211.7	213.645	
	85	1211.75	213.25	
	86	1211.87	212.512	
	87	1211.88	211.832	
	88	1212.12	211.402	
	89	1212.18	210.73	
	90	1212.18	210.332	
	91	1212.16	209.699	
	92	1212.17	209.387	
	93	1212.18	208.82	
	94	1212.13	208.547	
	95	1211.9	208.301	
	96	1212.14	207.855	
	97	1212.18	207.746	
	98	1212.25	207.664	
	99	1212.34	207.645	
	100	1212.42	207.691	
	101	1212.59	207.719	
	102	1212.65	207.84	
	103	1212.78	208.285	
	104	1212.89	208.488	
	105	1213.23	208.695	
	106	1213.31	209.203	
	107	1213.5	209.484	
	108	1213.66	209.785	
	109	1213.7	210.379	
	110	1213.86	210.656	
	111	1213.89	211.227	
	112	1214.14	211.578	
	113	1214.29	212.137	
	114	1214.33	212.527	
	115	1214.29	213.145	
	116	1214.23	213.574	
	117	1213.46	214.367	
	118	1213.54	214.77	
	119	1213.8	215.219	
	120	1213.74	215.563	
	121	1213.55	215.883	
	122	1213.45	216.344	
	123	1213.29	216.602	
	124	1213.08	216.832	
	125	1212.75	217.23	
	126	1212.55	217.41	
	127	1212.36	217.578	
	128	1212.21	217.684	
	129	1211.89	217.758	
	130	1211.77	217.824	
	131	1211.59	217.844	
	132	1211.41	217.832	
	133	1211.2	217.801	
	134	1211.18	217.773	
	135	1210.87	217.703	
	136	1210.72	217.609	
	137	1210.74	217.633	
	138	1210.63	217.516	
	139	1210.57	217.359	
	140	1210.51	217.313	
	141	1210.47	217.203	
	142	1210.47	217.113	
	143	1210.47	216.789	
	144	1210.5	216.512	
	145	1210.49	216.25	
	146	1210.5	215.719	
	147	1210.5	215.285	
	148	1210.52	214.711	
	149	1210.52	214.258	
	150	1210.61	213.641	
	151	1210.68	213.199	
	152	1210.68	212.613	
	153	1210.68	212.156	
	154	1210.7	211.578	
	155	1210.59	211.184	
	156	1210.57	210.664	
	157	1210.5	210.371	
	158	1210.56	210.051	
	159	1210.57	209.73	
	160	1210.54	209.484	
	161	1210.5	209.328	
	162	1210.54	209.223	
	163	1210.58	209.125	
	164	1210.6	209.094	
	165	1210.64	209.105	
	166	1210.67	209.176	
	167	1210.76	209.27	
	168	1210.84	209.426	
	169	1210.92	209.656	
	170	1211.1	209.844	
	171	1211.18	210.215	
	172	1211.31	210.551	
	173	1211.46	210.793	
	174	1211.5	211.102	
	175	1211.63	211.324	
	176	1211.77	211.398	
	177	1211.87	211.672	
	178	1211.93	212.234	
	179	1212.11	212.852	
	180	1212.17	213.789	
	181	1212.24	214.793	
	182	1212.33	215.906	
	183	1212.34	217.203	
	184	1212.3	218.523	
	185	1212.34	219.898	
	186	1212.32	221.402	
	187	1212.23	222.848	
	188	1212.05	224.367	
	189	1211.74	225.828	
	190	1211.52	227.281	
	191	1211.16	228.68	
	192	1210.78	229.969	
	193	1210.41	231.156	
	194	1210.13	232.207	
	195	1209.72	233.129	
	196	1209.46	233.844	
	197	1209.21	234.387	
	198	1209.11	234.832	
	199	1209.07	234.957	


End of Keyframe Data
