Adobe After Effects 8.0 Keyframe Data

	Units Per Second	24
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #3	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	0	570	418	
	1	570.023	416.977	
	2	570.059	415.66	
	3	570.117	414.258	
	4	570.145	412.922	
	5	570.215	411.5	
	6	570.32	409.98	
	7	570.398	408.504	
	8	570.523	407.098	
	9	570.641	405.871	
	10	570.863	404.5	
	11	570.984	403.453	
	12	571.055	402.543	
	13	571.211	401.664	
	14	571.387	401.078	
	15	571.691	400.465	
	16	571.867	400.086	
	17	572	400	
	18	572.199	400.008	
	19	572.5	400.172	
	20	572.5	400.633	
	21	572.844	401.129	
	22	573	401.73	
	23	573.012	402.75	
	24	573.199	403.793	
	25	573.285	404.949	
	26	573.527	406.121	
	27	573.652	407.5	
	28	573.699	409	
	29	573.777	410.5	
	30	573.867	412.07	
	31	573.898	413.5	
	32	573.863	414.941	
	33	573.93	416.207	
	34	573.883	417.5	
	35	573.699	418.902	
	36	573.793	420.059	
	37	573.762	421.348	
	38	573.5	422.641	
	39	573.414	423.828	
	40	573.332	424.848	
	41	573.211	425.641	
	42	573.137	426.5	
	43	573.055	427.055	
	44	573	427.586	
	45	572.863	427.984	
	46	572.805	428.156	
	47	572.602	428.25	
	48	572.379	428.203	
	49	572.234	428	
	50	572.016	427.73	
	51	571.996	427.176	
	52	571.797	426.676	
	53	571.668	425.988	
	54	571.508	425.211	
	55	571.5	424.273	
	56	571.254	423.539	
	57	571.164	422.543	
	58	571	421.676	
	59	571	420.781	
	60	571	419.82	
	61	570.973	419.059	
	62	570.906	418.371	
	63	570.77	417.957	
	64	570.68	417.477	
	65	570.617	417.047	
	66	570.5	416.68	
	67	570.531	416.203	
	68	570.465	415.789	
	69	570.543	415.176	
	70	570.387	414.859	
	71	570.512	414.227	
	72	570.449	413.785	
	73	570.5	413.25	
	74	570.438	412.871	
	75	570.5	412.395	
	76	570.434	412	
	77	570.426	411.613	
	78	570.5	411.211	
	79	570.461	411	
	80	570.453	410.715	
	81	570.449	410.5	
	82	570.5	410.285	
	83	570.5	410.148	
	84	570.465	410.066	
	85	570.461	410.035	
	86	570.465	410.035	
	87	570.473	410.051	
	88	570.5	410.133	
	89	570.5	410.23	
	90	570.5	410.371	
	91	570.449	410.586	
	92	570.406	410.875	
	93	570.445	411.02	
	94	570.5	411.234	
	95	570.359	411.563	
	96	570.289	411.91	
	97	570.34	412.031	
	98	570.246	412.5	
	99	570.27	412.797	
	100	570.23	413.152	
	101	570.16	413.59	
	102	570.223	414.223	
	103	570.145	415.023	
	104	570.094	415.93	
	105	570.02	416.77	
	106	570	417.777	
	107	570	418.754	
	108	570	419.598	
	109	570	420.613	
	110	570	421.473	
	111	569.938	422.359	
	112	570	423.137	
	113	569.934	423.852	
	114	570	424.418	
	115	570	425.023	
	116	570.012	425.391	
	117	570	425.672	
	118	570.063	425.852	
	119	570.117	425.953	
	120	570.176	425.875	
	121	570.234	425.625	
	122	570.316	425.348	
	123	570.379	424.914	
	124	570.504	424.309	
	125	570.43	423.715	
	126	570.52	422.996	
	127	570.617	422.023	
	128	570.68	421.113	
	129	570.699	420.117	
	130	570.707	419.133	
	131	570.758	418.055	
	132	570.676	417.035	
	133	570.637	416.105	
	134	570.652	415.172	
	135	570.594	414.363	
	136	570.43	413.77	
	137	570.32	413.121	
	138	570.27	412.645	
	139	570.164	412.137	
	140	570.039	411.844	
	141	570	411.609	
	142	570	411.422	
	143	569.934	411.324	
	144	569.809	411.34	
	145	569.727	411.453	
	146	569.5	411.742	
	147	569.457	411.977	
	148	569.5	412.176	
	149	569.355	412.609	
	150	569.359	413	
	151	569.344	413.5	
	152	569.313	413.941	
	153	569.324	414.504	
	154	569.391	415	
	155	569.387	415.5	
	156	569.391	416	
	157	569.574	416.383	
	158	569.5	416.852	
	159	569.684	417.121	
	160	569.742	417.414	
	161	569.746	417.656	
	162	569.773	417.75	
	163	569.875	417.637	
	164	569.973	417.434	
	165	569.969	417	
	166	570	416.547	
	167	570	416.375	
	168	570	416.402	
	169	570	416.629	
	170	570.055	417.02	
	171	570	417.668	
	172	570	418.371	
	173	570	419.293	
	174	570	420.191	
	175	569.902	421.203	
	176	569.82	422.313	
	177	569.715	423.352	
	178	569.438	424.5	
	179	569.32	425.516	
	180	569.172	426.516	
	181	569.07	427.453	
	182	569	428.32	
	183	569	429.059	
	184	568.883	429.789	
	185	568.926	430.195	
	186	568.828	430.668	
	187	568.738	430.941	
	188	568.742	431	
	189	568.715	430.883	
	190	568.754	430.492	
	191	568.738	430	
	192	568.953	429.207	
	193	568.949	428.359	
	194	569	427.23	
	195	569.133	425.922	


End of Keyframe Data
